,Fighter Name,Age,Height,Reach,Overall Record,Record in Last 5,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,# of Fights,KO Win %,Sub Win %,Dec Win %,Finish Rate,KO Wins,KO Losses,Sub Wins,Sub Losses,Dec Wins,Dec Losses,DQ Wins,DQ Losses,Odds,Category
431,Yazmin Jauregui,24,63,64.0,10-01-0,04-01,6.26,41%,4.87,54%,1.39,0.0,0%,100%,0.0,11,64.00%,0.00%,27.00%,63.64%,7,1,0,0,3,0,0,0,-525.0,Women's Strawweight Bout
432,Amanda Lemos,36,64,65.0,13-03-0,03-02,3.54,55%,4.66,42%,-1.12,0.82,55%,55%,0.8,17,47.00%,18.00%,12.00%,64.71%,8,1,3,1,2,1,0,0,-135.0,Women's Strawweight Bout
433,Loma Lookboonmee,28,61,61.5,08-03-0,04-01,4.14,58%,2.58,52%,1.56,2.04,50%,74%,0.2,11,9.09%,9.09%,54.55%,18.18%,1,0,1,1,6,2,0,0,-260.0,Women's Strawweight Bout
434,Gillian Robertson,28,65,63.0,12-08-0,03-02,2.6,45%,3.21,55%,-0.61,2.46,41%,43%,0.9,20,5.00%,45.00%,10.00%,50.00%,1,1,9,1,2,6,0,0,-230.0,Women's Strawweight Bout
435,Steve Garcia,31,72,73.0,14-05-0,03-02,4.85,56%,2.61,46%,2.24,1.51,44%,94%,0.4,19,58.00%,0.00%,16.00%,57.89%,11,1,0,1,3,3,0,0,230.0,Women's Strawweight Bout
436,Steve Garcia,31,72,73.0,14-05-0,03-02,4.85,56%,2.61,46%,2.24,1.51,44%,94%,0.1,19,58.00%,0.00%,16.00%,57.89%,11,1,0,1,3,3,0,0,230.0,Women's Strawweight Bout
437,Luana Pinheiro,30,64,62.0,11-01-0,5-0,3.86,39%,3.67,63%,0.19,2.83,50%,50%,0.4,12,17.00%,42.00%,25.00%,58.33%,2,0,5,0,3,1,1,0,-230.0,Women's Strawweight Bout
438,Jared Gooden,30,72,77.0,23-09-0,03-02,5.08,49%,6.68,48%,-1.6,0.67,100%,65%,0.2,32,34.38%,21.88%,15.62%,56.25%,11,2,7,0,5,7,0,0,170.0,
439,Jared Gooden,29,72,77.0,22-09-0,03-02,4.73,47%,6.76,48%,-2.03,0.49,100%,68%,0.0,32,34.00%,22.00%,16.00%,56.25%,11,2,7,0,5,7,0,0,170.0,
440,Jared Gooden,30,72,77.0,23-09-0,03-02,5.08,49%,6.68,48%,-1.6,0.67,100%,65%,0.2,32,34.38%,21.88%,15.62%,56.25%,11,2,7,0,5,7,0,0,165.0,Welterweight Bout
441,Jared Gooden,29,72,77.0,22-09-0,03-02,4.73,47%,6.76,48%,-2.03,0.49,100%,68%,0.0,32,34.00%,22.00%,16.00%,56.25%,11,2,7,0,5,7,0,0,165.0,Welterweight Bout
442,Javid Basharat,28,69,69.0,14-0-0,4-0 (1 NC),5.65,61%,2.5,63%,3.15,2.09,50%,85%,0.2,14,36.00%,43.00%,21.00%,78.57%,5,0,6,0,3,0,0,0,-800.0,Bantamweight Bout
443,Mario Bautista,30,69,69.0,13-02-0,5-0,5.32,51%,4.2,53%,1.12,2.72,50%,56%,1.3,15,20.00%,40.00%,27.00%,60.00%,3,1,6,1,4,0,0,0,150.0,Bantamweight Bout
444,Jamie Mullarkey,29,72,74.0,17-07-0,03-02,4.46,46%,4.49,54%,-0.03,2.42,34%,76%,0.1,24,37.50%,12.50%,20.83%,50.00%,9,5,3,0,5,2,0,0,184.0,Bantamweight Bout
445,Jamie Mullarkey,29,72,74.0,17-06-0,03-02,4.46,47%,4.41,54%,0.05,2.46,34%,76%,0.1,23,43.00%,13.00%,17.00%,56.52%,10,4,3,0,4,2,0,0,184.0,Bantamweight Bout
446,Jamie Mullarkey,29,72,74.0,17-07-0,03-02,4.46,46%,4.49,54%,-0.03,2.42,34%,76%,0.1,24,37.50%,12.50%,20.83%,50.00%,9,5,3,0,5,2,0,0,148.0,Lightweight Bout
447,Jamie Mullarkey,29,72,74.0,17-06-0,03-02,4.46,47%,4.41,54%,0.05,2.46,34%,76%,0.1,23,43.00%,13.00%,17.00%,56.52%,10,4,3,0,4,2,0,0,148.0,Lightweight Bout
448,Jose Johnson,28,72,71.5,15-08-0,03-02,2.16,63%,1.72,51%,0.44,0.44,50%,33%,0.4,23,30.00%,13.00%,22.00%,43.48%,7,1,3,4,5,3,0,0,-175.0,Bantamweight Bout
449,Cynthia Calvillo,36,64,64.0,09-06-0,0-5,4.41,38%,4.12,64%,0.29,1.8,44%,77%,0.8,16,12.50%,18.75%,25.00%,31.25%,2,2,3,0,4,4,0,0,136.0,Bantamweight Bout
