,Fighter Name,Age,Height,Reach,Overall Record,Record in Last 5,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,# of Fights,KO Win %,Sub Win %,Dec Win %,Finish Rate,KO Wins,KO Losses,Sub Wins,Sub Losses,Dec Wins,Dec Losses,DQ Wins,DQ Losses,Odds,Category
274,Mateusz Rebecki,31,67,66.0,19-01-0,5-0,5.31,0.53,2.01,0.63,3.3,4.16,0.72,0.66,1.6,20,0.45,0.35,0.15,0.8,9,1,7,0,3,0,0,0,650.0,Lightweight Bout
275,Mateusz Rebecki,31,67,66.0,18-01-0,5-0,5.57,0.53,2.18,0.63,3.39,3.5,0.66,0.66,1.2,19,0.47,0.32,0.16,0.7895,9,1,6,0,3,0,0,0,650.0,Lightweight Bout
276,Mateusz Rebecki,31,67,66.0,19-01-0,5-0,5.31,0.53,2.01,0.63,3.3,4.16,0.72,0.66,1.6,20,0.45,0.35,0.15,0.8,9,1,7,0,3,0,0,0,-360.0,Lightweight Bout
277,Mateusz Rebecki,31,67,66.0,18-01-0,5-0,5.57,0.53,2.18,0.63,3.39,3.5,0.66,0.66,1.2,19,0.47,0.32,0.16,0.7895,9,1,6,0,3,0,0,0,-360.0,Lightweight Bout
278,Jared Gordon,35,69,68.0,19-06-0,2-2 (1 NC),5.32,0.57,3.28,0.58,2.04,2.01,0.4,0.62,0.0,25,0.24,0.08,0.44,0.32,6,4,2,1,11,1,0,0,220.0,Lightweight Bout
279,Joe Pyfer,27,74,75.0,12-02-0,5-0,3.64,0.45,2.34,0.55,1.3,2.97,0.83,0.5,1.8,14,0.5714,0.2143,0.07139999999999999,0.7857,8,1,3,1,1,0,0,0,-345.0,Middleweight Bout
280,Joe Pyfer,27,74,75.0,12-02-0,5-0,3.64,0.45,2.34,0.55,1.3,2.97,0.83,0.5,1.8,14,0.5714,0.2143,0.07139999999999999,0.7857,8,1,3,1,1,0,0,0,-240.0,Middleweight Bout
281,Chris Weidman,39,74,78.0,15-07-0,01-04,2.98,0.43,3.27,0.5,-0.29,3.6,0.43,0.65,0.8,22,0.2727,0.1818,0.2273,0.4545,6,6,4,0,5,1,0,0,230.0,Middleweight Bout
282,Andre Petroski,32,72,73.0,10-02-0,04-01,3.61,0.51,3.03,0.51,0.58,4.48,0.54,0.71,2.5,13,0.3077,0.3077,0.15380000000000002,0.6154,4,2,4,1,2,0,0,0,199.0,Middleweight Bout
283,Andre Petroski,32,72,73.0,10-02-0,04-01,3.61,0.51,3.03,0.51,0.58,4.48,0.54,0.71,2.5,13,0.3077,0.3077,0.15380000000000002,0.6154,4,2,4,1,2,0,0,0,-125.0,Middleweight Bout
