,Weight Class,Fighter Name,Last Fight Date,Age,Height,Reach,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Strikes by Position to Head,Strikes by Position to Body,Strikes by Position to Leg,Control Time per Position Distance,Control Time per Position Clinch,Control Time per Position Ground,Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,Ground Control Time,SDBL/A,SDHL/A,SDLL/A,TSL,TSA,SSL,SSA,TSL-TSA,KD,%BODY,%HEAD,%LEG,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC,SGBL,SGBA,SGHL,SGHA,SGLL,SGLA,AD,ADTB,ADHG,ADTM,ADTS,SM,
31,Lightweight,Grant Dawson,2023-10-07 00:00:00,29.0,5 ft 9 in,72 in,2.97,51,2.27,46,0.7,231.0,75.0,57.0,xx,xx,xx,3.68,36,40,1.47,xx,0.0,0.07,0.0,61.25,90.71,26.38,48.17,0.53,0.2,0.43,0.42,0.75,1.52,1.52,0.77,0.77,0.0,0.0,0.0,0.0,2.75,6.94,0.0,0.31,1.05,1.05,8.57,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,
32,Lightweight,Joe Solecki,2023-12-02 00:00:00,30.0,5 ft 9 in,70.5 in,2.21,56,1.53,52,0.68,146.0,13.0,16.0,xx,xx,xx,2.65,50,50,1.51,xx,0.0,0.14,0.0,57.62,86.78,16.78,36.78,0.68,0.0,0.25,0.51,0.75,0.35,0.35,0.7,1.32,0.23,0.23,0.0,0.0,1.75,3.8,0.0,0.46,0.0,0.0,1.97,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,
33,Welterweight,Phil Rowe,2023-06-24 00:00:00,32.0,6 ft 3 in,80.5 in,3.94,53,4.32,54,0.38,198.0,45.0,34.0,xx,xx,xx,0.85,40,59,0.43,xx,0.0,0.3,0.23,45.23,88.03,38.63,79.85,0.51,0.37,0.58,0.42,0.76,1.47,1.72,3.0,4.33,0.0,0.0,0.3,0.0,0.77,1.85,0.0,0.29,0.0,0.0,0.55,1.23,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.45,
34,Welterweight,Jake Matthews,2023-11-18 00:00:00,29.0,5 ft 11.5 in,73 in,3.3,45,2.56,61,0.74,530.0,106.0,79.0,xx,xx,xx,1.59,40,63,0.62,xx,0.36,0.34,1.653102136708861e+18,58.07,120.54,45.55,105.99,0.49,0.17,0.74,0.37,0.82,0.2,0.2,1.58,2.45,0.0,0.0,0.0,0.0,0.2,0.88,0.0,0.1,0.0,0.0,3.13,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,
35,Welterweight,Mickey Gall,2024-06-01 00:00:00,31.0,6 ft 2 in,74 in,2.94,46,4.25,49,-1.31,177.0,35.0,43.0,xx,xx,xx,1.21,30,36,1.9,xx,0.18,0.19,0.0,41.42,85.05,37.18,79.96,0.49,0.0,0.59,0.43,0.65,0.47,0.77,2.99,4.41,0.62,0.62,0.37,0.0,0.6,2.97,0.0,0.37,0.0,0.0,1.37,2.09,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.4,
36,Welterweight,Bassil Hafez,2024-06-01 00:00:00,31.0,5 ft 11 in,72 in,2.13,26,5.53,39,-3.4,28.0,4.0,0.0,xx,xx,xx,3,15,50,0,xx,0.0,0.06,0.0,12.03,35.34,8.02,31.08,0.09,0.0,0.08,0.06,0.25,0.25,0.25,0.75,1.25,0.0,0.0,0.25,0.0,0.75,5.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37,Women's Bantamweight,Ailin Perez,2023-11-18 00:00:00,29.0,5 ft 5 in,66 in,2.96,56,1.18,58,1.78,32.0,23.0,63.0,xx,xx,xx,4.89,50,75,0,xx,0.0,0.0,0.0,67.64,100.12,27.25,48.78,0.46,0.0,0.47,0.33,0.26,1.73,1.95,2.93,5.03,0.45,0.9,0.0,0.0,2.95,5.98,0.0,0.28,0.2,0.2,14.63,21.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38,Women's Bantamweight,Joselyne Edwards,2023-09-02 00:00:00,27.0,5 ft 8 in,70 in,4.71,52,3.36,51,1.35,429.0,40.0,26.0,xx,xx,xx,1,33,65,0.29,xx,0.22,0.17,0.47,103.6,177.5,70.46,137.0,0.61,0.0,0.69,0.33,0.64,3.17,3.52,2.93,5.25,0.17,0.17,0.23,0.0,1.45,3.35,0.0,0.22,0.0,0.0,2.12,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,
39,Flyweight,Tatsuro Taira,2023-12-09 00:00:00,24.0,5 ft 7 in,70 in,3.51,71,1.15,47,2.36,130.0,13.0,31.0,xx,xx,xx,2.12,41,71,2.42,xx,0.0,0.0,0.21,58.0,77.14,34.57,47.84,0.79,0.4,0.66,0.73,0.79,0.5,0.5,0.32,0.75,0.0,0.0,0.52,0.0,1.32,3.02,0.0,0.45,0.57,0.57,20.7,26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,
40,Flyweight,Joshua Van,2024-01-13 00:00:00,22.0,5 ft 5 in,65 in,9.08,53,5.77,60,3.31,233.0,93.0,33.0,xx,xx,xx,1.14,43,79,0,xx,0.52,0.29,0.4,101.97,174.71,79.95,149.73,0.4,0.25,0.53,0.31,0.61,1.83,2.03,3.91,5.26,0.0,0.0,0.0,0.0,0.7,1.55,0.0,0.36,0.0,0.0,3.26,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
